N,fpt_mean,fpt_sd
32.0,69182.0487094,72010.0202857
59.0,84499.5361338,84797.0547696
107.0,48469.9503775,45024.9854248
196.0,11738.2863374,19597.7490837
360.0,2385.49605455,4051.38158337
658.0,415.819611548,1125.94983767
1205.0,42.3667752654,47.4578625687
2206.0,27.5261374194,21.806020559
4039.0,14.0183769309,12.4776774737
7395.0,7.20597516646,7.74332918253
13539.0,4.27886741486,4.11186192717
