gamma,fpt_mean,fpt_sd
1.0,358055.967114,358453.005633
2.0,323830.29101,309281.362382
3.0,343980.864498,353794.921245
4.0,259682.33392,212370.449973
5.0,254753.777632,205969.333218
6.0,219211.823702,226914.702698
7.0,196068.576146,166673.316418
8.0,177720.999752,153454.342058
9.0,189287.350327,177426.147226
10.0,160593.415881,146093.943163
