gamma,fpt_mean,fpt_sd
11.0,174310.189689,165406.881133
12.0,150515.835845,141170.930573
13.0,151529.095856,161344.971145
14.0,126260.673619,114102.252466
15.0,121943.212554,126806.888304
16.0,164989.845495,187182.415594
17.0,124118.360021,135122.022111
18.0,109680.330295,112773.392643
19.0,110678.451842,113302.214715
20.0,105025.06086,126118.726067
