gamma,fpt_mean,fpt_sd
1.0,492588.636158,442842.379912
2.0,352837.171064,348597.559881
3.0,301887.847251,298629.540437
4.0,231683.082761,241137.735565
5.0,217609.816132,214525.448187
6.0,219687.420006,179410.716667
7.0,181514.912244,164549.189283
8.0,192555.067419,212419.093823
9.0,193630.180047,167014.608589
10.0,170248.644823,149792.790209
