N,fpt_mean,fpt_sd
32.0,283.3750513042316,263.5591566648918
58.0,194.95170752054045,191.74154328322217
106.0,95.711668525457,92.21270512377298
195.0,49.66810196312046,52.199657718063925
357.0,28.889128295011734,28.345347885494633
654.0,15.440739954915001,14.598874149825644
1199.0,6.951323631649931,6.851297782636914
2198.0,4.928107595470385,5.426448569909194
4030.0,2.3603430054219072,2.292195404064212
7386.0,1.413338728889043,1.6030162527256528
13539.0,0.7098608868302122,0.6932388350919627
24816.0,0.41044998084148016,0.371122362820392
45488.0,0.21630145561221073,0.2189319136200003
83378.0,0.11674113341489617,0.12451439669294653
152831.0,0.06160972864207893,0.06393282433615162
280136.0,0.03868072625198068,0.044997920097572426
513483.0,0.01697350789324911,0.015313339966029427
941205.0,0.010316496963739926,0.01038330261164562
1725211.0,0.006403271423459164,0.005973908128378119
3162278.0,0.0030661785842789058,0.0029583167962891734
