N,fpt_mean,fpt_sd
32.00,31553.21826307,32505.95489172
59.00,27969.41993053,28380.86039973
107.00,27782.43107420,26891.70322578
196.00,30242.63681670,31746.93589104
360.00,32390.45418347,29312.44319357
658.00,32437.16369293,31752.20585475
1205.00,21909.61982557,22216.15660687
2206.00,10725.04677937,10793.39630928
4039.00,6156.08402807,5857.47688128
7395.00,3311.44228778,3370.75828701
13539.00,1769.54807475,1731.42407851
