N,fpt_mean,fpt_sd
32.0,36108.149378,34332.2027367
59.0,31278.7359086,29186.3462699
107.0,24444.5723764,25015.2784187
196.0,30161.9387409,34559.6535306
360.0,26613.2041482,21894.6325273
658.0,35944.4295158,30335.928419
1205.0,22396.6368029,22816.8788694
2206.0,12089.9179104,10928.8130567
4039.0,6181.68796333,5209.1616526
7395.0,3340.5789238,3486.36404265
13539.0,1715.19346274,1652.5396338
