N,fpt_mean,fpt_sd
32.0,80573.988822,75956.6571384
59.0,71436.4031126,77725.6635634
107.0,40002.5595176,43683.2343114
196.0,27065.0659636,29904.895719
360.0,16370.7817766,15591.7254828
658.0,8386.10516516,8176.02407058
1205.0,4932.21553224,4183.46100068
2206.0,2693.51511069,2755.23438641
4039.0,1332.69044909,1371.50628289
7395.0,815.967814476,763.232517201
13539.0,464.065064493,425.991074482
