gamma,fpt_mean,fpt_sd
1.0,431174.827242,366215.99943
2.0,384260.732876,409191.803104
3.0,284097.368985,276310.028178
4.0,283600.194029,263098.686868
5.0,291529.2182,247951.986287
6.0,174183.86315,169470.583406
7.0,199763.739272,182861.515399
8.0,181619.337608,177979.535767
9.0,158245.152745,156904.669766
10.0,142046.878797,135146.043646
