N,fpt_mean,fpt_sd
32.00,209328.97037200,189557.41646767
59.00,439489.12147750,390689.20410879
107.00,390744.96684100,385173.04792184
196.00,214651.10392600,210518.94584371
360.00,130959.69737400,142232.91059482
658.00,64936.03656500,69462.54019182
1205.00,47606.93158275,50683.14262880
2206.00,21162.51468860,20997.98191436
4039.00,12957.10492880,12547.98278638
7395.00,6575.44121409,6927.98059303
13539.00,3521.13909542,3277.49488558
