N,fpt_mean,fpt_sd
32.00,58378.18454247,63249.42129510
59.00,82904.11453387,83539.86056745
107.00,49951.33406027,48365.00408803
196.00,12108.81501240,15025.73981714
360.00,2812.95907186,3278.16870697
658.00,422.88553978,736.07685207
1205.00,55.90548805,53.23875752
2206.00,28.77707032,26.65671951
4039.00,16.85339258,15.53239752
7395.00,7.50198686,7.58328778
13539.00,4.32899285,4.25784635
