gamma,fpt_mean,fpt_sd
11.0,143444.735214,136289.270105
12.0,162450.691393,140677.437967
13.0,139759.77522,145099.991812
14.0,112732.040188,123450.869971
15.0,137496.11772,139992.544382
16.0,123768.06831,115212.161799
17.0,130359.847288,151259.487481
18.0,122301.827476,94208.5099672
19.0,129122.567141,135432.923248
20.0,120087.443228,121645.752289
