N,fpt_mean,fpt_sd
32.0,15542.1443189,34260.0105006
58.0,8693.38748374,15004.2775149
106.0,4371.45295204,11175.4795462
195.0,572.425663297,2448.13830875
357.0,53.1764512124,54.8691176834
654.0,28.1806000161,26.2880451175
1199.0,16.0470323883,18.0843253191
2198.0,9.56367844811,9.14497996732
4030.0,4.96727754265,4.49349112855
7386.0,2.68396294148,2.45243860408
13539.0,1.65577036357,1.61618448946
24816.0,0.748076510271,0.788260143318
45488.0,0.404275912575,0.405505650839
83378.0,0.214025743032,0.212735805007
152831.0,0.136845365747,0.137208841099
280136.0,0.0624736485621,0.0658300500817
513483.0,0.0367982123699,0.039385123516
941205.0,0.0210892638128,0.0199276938731
1725211.0,0.0116422959391,0.0115212697273
3162278.0,0.00558663704208,0.00613787448428
