gamma,fpt_mean,fpt_sd
11.0,176219.832381,144218.31055
12.0,168421.266552,167758.067586
13.0,157986.220962,155562.035448
14.0,134560.554511,110762.674871
15.0,142786.038615,123071.290995
16.0,115429.215179,108423.513501
17.0,125804.356233,129257.840328
18.0,119646.302736,121742.431311
19.0,104087.574559,101555.864399
20.0,99612.0856431,92716.151741
