N,fpt_mean,fpt_sd
32.0,53809.230171,63872.330528
59.0,72410.0388105,78670.9356831
107.0,48616.2419475,48672.7604904
196.0,13859.9913207,14285.1235486
360.0,2531.15806643,4100.93253266
658.0,561.267728064,1189.87109502
1205.0,67.593269182,78.3628659945
2206.0,29.4188623627,34.0315393509
4039.0,17.4597654167,17.7062323085
7395.0,8.36465673305,8.34567169044
13539.0,4.13137389891,4.30950591104
