N,fpt_mean,fpt_sd
32.0,122458.7108,111983.457641
59.0,194017.50719,195943.204338
107.0,272481.542059,255705.742519
196.0,215391.367047,192503.086675
360.0,125640.601544,115091.649633
658.0,69655.8117737,61700.9382719
1205.0,40092.9594664,36027.3266176
2206.0,25006.0783383,22551.8028199
4039.0,11535.0822429,11688.1241096
7395.0,6576.19855464,6938.47503246
13539.0,3785.34919398,3824.05479775
